27-Co-59(n,&gamma;) ENDF/B-VII.1
13640.6,0.0143939
13641.5,0.0165079
13642.3,0.0190213
13643.0,0.0222722
13643.6,0.026325
13644.1,0.0321837
13644.6,0.0390783
13645.1,0.0485448
13645.6,0.0614994
13646.1,0.0791002
13646.5,0.102761
13647.0,0.134391
13647.5,0.175806
13648.0,0.229133
13648.5,0.307445
13649.2,0.419035
13649.8,0.558616
13650.5,0.781018
13651.5,1.13884
13653.9,2.04894
13654.9,2.34278
13655.9,2.44954
13656.0,2.44992
13657.0,2.35516
13658.0,2.09312
13659.6,1.47493
13661.1,0.91543
13661.9,0.648964
13662.6,0.469543
13663.2,0.347953
13663.8,0.258055
13664.3,0.192708
13664.8,0.148472
13665.3,0.114236
13665.7,0.0889456
13666.2,0.0697132
13666.6,0.0552356
13667.1,0.0444285
13667.6,0.0356477
13668.1,0.0293446
13668.7,0.0240568
13669.3,0.0203025
13670.0,0.0174092
13670.9,0.0150693
13672.0,0.0129913
13673.5,0.0112455
13675.5,0.00956857
13678.2,0.00811365
13681.6,0.00695336
13686.2,0.00599027
13691.6,0.0052932
13698.9,0.00473157
13709.8,0.00423753
13730.3,0.00376447
13761.7,0.00339243
13805.0,0.00310201
13882.1,0.00280732
13997.7,0.00259257
14151.9,0.00249155
14190.4,0.00248588
14383.1,0.00258136
14575.9,0.00285159
14730.0,0.00325653
14845.6,0.00374033
14961.3,0.00449073
15038.3,0.00523949
15115.4,0.00632233
15182.9,0.00772422
15238.8,0.00942133
15285.0,0.011428
15323.5,0.0137646
15362.1,0.0170384
15396.8,0.0212629
15423.8,0.0258884
15449.3,0.031967
15472.9,0.0398333
15493.1,0.0492911
15510.0,0.0600926
15526.9,0.0749321
15542.0,0.0935282
15555.5,0.116406
15567.3,0.143759
15578.9,0.180376
15589.7,0.227611
15599.4,0.28458
15609.0,0.360848
15619.7,0.473939
15635.5,0.692585
15645.4,0.819767
15650.8,0.864029
15655.8,0.878647
15660.4,0.867566
15668.1,0.802168
15692.0,0.47582
15702.6,0.362936
15712.6,0.283694
15722.2,0.226844
15732.6,0.181528
15744.1,0.144544
15756.4,0.116006
15769.9,0.093247
15785.1,0.0747721
15801.9,0.0600545
15818.8,0.0493651
15840.0,0.0396598
15863.1,0.0321713
15890.1,0.0259994
15918.0,0.0214971
15947.9,0.0180398
15986.5,0.0149196
16025.0,0.0127693
16067.9,0.0111493
16116.9,0.00989772
16185.7,0.00892722
16263.2,0.00858415
16340.6,0.00891115
16409.4,0.00975669
16461.1,0.0108585
16521.3,0.0128451
16573.0,0.0154582
16616.0,0.0186385
16654.7,0.022712
16689.1,0.027812
16719.3,0.0340093
16749.4,0.0426674
16775.2,0.053029
16796.7,0.0646985
16818.2,0.0802706
16839.7,0.101168
16860.4,0.127637
16887.9,0.173938
16922.3,0.236773
16936.5,0.253143
16948.2,0.257729
16963.7,0.249679
16984.3,0.219341
17026.7,0.141282
17050.6,0.107501
17072.1,0.084749
17093.6,0.0677943
17115.1,0.0551143
17140.9,0.0438961
17166.7,0.035701
17196.9,0.0287164
17231.3,0.0229926
17270.0,0.0184222
17313.0,0.0148299
17358.2,0.0121372
